Origin,Destination,Flight Number
Abu Dhabi,Ahmedabad,G8 6
Abu Dhabi,Ahmedabad,G8 6
Abu Dhabi,Ahmedabad,G8 6
Abu Dhabi,Ahmedabad,G8 6
Abu Dhabi,Ahmedabad,G8 6
Abu Dhabi,Ahmedabad,G8 6
Abu Dhabi,Ahmedabad,G8 6
Abu Dhabi,Ahmedabad,G8 4
Abu Dhabi,Ahmedabad,G8 4
Abu Dhabi,Ahmedabad,G8 6
Abu Dhabi,Ahmedabad,G8 6
Abu Dhabi,Ahmedabad,G8 76
Abu Dhabi,Amritsar,G8 6
Abu Dhabi,Amritsar,G8 4
Abu Dhabi,Amritsar,G8 6
Abu Dhabi,Bagdogra,G8 76
Abu Dhabi,Bangkok,G8 76
Abu Dhabi,Bangkok,G8 76
Abu Dhabi,Bangkok,G8 76
Abu Dhabi,Chandigarh,G8 6
Abu Dhabi,Chandigarh,G8 6
Abu Dhabi,Chandigarh,G8 4
Abu Dhabi,Chandigarh,G8 6
Abu Dhabi,Chandigarh,G8 6
Abu Dhabi,Chandigarh,G8 6
Abu Dhabi,Chandigarh,G8 4
Abu Dhabi,Chandigarh,G8 4
Abu Dhabi,Chandigarh,G8 6
Abu Dhabi,Chandigarh,G8 4
Abu Dhabi,Chandigarh,G8 6
Abu Dhabi,Chandigarh,G8 4
Abu Dhabi,Chandigarh,G8 6
Abu Dhabi,Dehra Dun,G8 6
Abu Dhabi,Dehra Dun,G8 6
Abu Dhabi,Dehra Dun,G8 6
Abu Dhabi,Dehra Dun,G8 4
Abu Dhabi,Dehra Dun,G8 6
Abu Dhabi,Dehra Dun,G8 4
Abu Dhabi,Dehra Dun,G8 6
Abu Dhabi,Dehra Dun,G8 6
Abu Dhabi,Delhi,G8 6
Abu Dhabi,Delhi,G8 6
Abu Dhabi,Delhi,G8 6
Abu Dhabi,Delhi,G8 4
Abu Dhabi,Delhi,G8 6
Abu Dhabi,Delhi,G8 76
Abu Dhabi,Goa,G8 6
Abu Dhabi,Goa,G8 6
Abu Dhabi,Goa,G8 6
Abu Dhabi,Goa,G8 6
Abu Dhabi,Goa,G8 6
Abu Dhabi,Goa,G8 6
Abu Dhabi,Goa,G8 6
Abu Dhabi,Goa,G8 6
Abu Dhabi,Goa,G8 6
Abu Dhabi,Goa,G8 6
Abu Dhabi,Goa,G8 4
Abu Dhabi,Goa,G8 4
Abu Dhabi,Goa,G8 4
Abu Dhabi,Goa,G8 6
Abu Dhabi,Goa,G8 6
Abu Dhabi,Goa,G8 6
Abu Dhabi,Goa,G8 6
Abu Dhabi,Goa,G8 76
Abu Dhabi,Guwahati,G8 76
Abu Dhabi,Jammu,G8 6
Abu Dhabi,Jammu,G8 6
Abu Dhabi,Jammu,G8 4
