city,latitude,longitude
New Delhi,28.5665,77.103104
Mumbai,19.08869934,72.86789703
Bangalore,13.1979,77.706299
Chennai,12.99000549,80.16929626
Vasco da Gama,15.38080025,73.83139801
Kochi,10.152,76.401901
Kolkata,22.65469933,88.44670105
Hyderabad,17.23131752,78.42985535
Thiruvananthapuram,8.48211956,76.92009735
Ahmedabad,23.07719994,72.63469696
Jaipur,26.8242,75.812202
Bangalore,12.94999981,77.66819763
Pune,18.58209991,73.91970062
Amritsar,31.70960045,74.79730225
Vadodara,22.336201,73.226303
Mangalore,12.9612999,74.89009857
Hyderabad,17.4531002,78.46759796
Varanasi,25.45240021,82.85929871
Calicut,11.13679981,75.95529938
Bhubaneswar,20.24440002,85.81780243
Coimbatore,11.02999973,77.04340363
Guwahati,26.10610008,91.58589935
Patna,25.59129906,85.08799744
Indore,22.72179985,75.80110168
Jodhpur,26.25110054,73.04889679
Madurai,9.83450985,78.09339905
Siliguri,26.68120003,88.32859802
Visakhapatnam,17.72120094,83.22450256
Lucknow,26.76059914,80.88929749
Chandigarh,30.67350006,76.78849792
Mumbai,19.09810066,72.834198
Port Blair,11.64120007,92.72969818
Raipur,21.180401,81.7388
Srinagar,33.98709869,74.77420044
Naqpur,21.09219933,79.04720306
Udaipur,24.61770058,73.89610291
Aurangabad,19.86269951,75.39810181
Ranchi,23.31430054,85.32170105
Bhuj,23.28779984,69.67019653
Agartala,23.88699913,91.24040222
Jorhat,26.73150063,94.17549896
Puttaparthi,14.14929962,77.79109955
Rajkot,22.30920029,70.77950287
Bhopal,23.28750038,77.33740234
Imphal,24.76000023,93.896698
Jamnagar,22.46549988,70.01260376
Leh,34.13589859,77.54650116
Rajahmundry,17.11039925,81.81819916
Tirupati,13.63249969,79.54329681
Dibrugarh,27.48390007,95.01689911
Khajuraho,24.81719971,79.91860199
Allahabad,25.44009972,81.73390198
Nasik,20.119101,73.912903
Pune,18.226944,74.590833
Tiruchirappally,10.76539993,78.70970154
Jammu,32.68909836,74.83740234
Belgaum,15.85929966,74.61830139
Bhavnagar,21.75219917,72.18520355
Dehradun,30.189699,78.180298
Nashik,19.96369934,73.80760193
Porbandar,21.64870071,69.65720367
Silchar,24.91290092,92.97869873
Diu,20.71310043,70.9210968
Hubli,15.36170006,75.0848999
Bellary,15.16279984,76.88279724
Hyderabad,17.62719917,78.40339661
Jamshedpur,22.8132,86.1688
Kota,25.16020012,75.84559631
Pathankot,32.233611,75.634444
Pondicherry,11.968,79.812
Kochi,9.947389603,76.27310181
Kanpur,26.404301,80.410103
Rewa,24.503401,81.220299
Sulur,11.01360035,77.15969849
Yelahanka,13.13549995,77.60600281
Amreli,21.61985086,71.22333527
Bhagalpur,25.249359,87.009779
Hospete,15.358334,76.51667
Koppal,15.35910034,76.21929932
Madhupur,13.2363163,93.04973066
Aizawl,23.7432,92.8024
Dimapur,25.88389969,93.77110291
Gwalior,26.29330063,78.22779846
Kanpur,26.441401,80.364899
Lilabari,27.2954998,94.09760284
Shillong,25.70359993,91.97869873
Akola,20.698999,77.058601
Bareilly,28.42210007,79.45079803
Bikaner,28.07060051,73.2071991
Bilaspur,21.9884,82.111
Gorakhpur,26.73970032,83.4496994
Jalpaiguri,26.69829941,89.36910248
Kadapa,14.51,78.772778
Kandla,23.1127,70.100304
Pantnagar,29.03339958,79.47370148
Salem,11.7833004,78.06559753
Ziro,27.588301,93.828102
Adampur,31.4338,75.758797
Aizawl,23.84059906,92.61969757
Balurghat,25.26169968,88.79560089
Barrackpore,22.78100014,88.35919952
Behala,22.5042305,88.29342651
Chennai,12.90719986,80.12190247
Dibrugarh,27.46220016,95.11769867
Dunakonda,15.8063,79.4882
Jagdalpur,19.07430077,82.03679657
Jeypore,18.87999916,82.55200195
Kalyanpur,26.520399,80.232904
Khowai,24.061899,91.603897
Lalitpur,24.71699905,78.41699982
Latur,18.411501,76.464699
Lucknow,26.98830032,80.89309692
Malda,25.033001,88.133003
Mysore,12.23,76.655833
Nanded,19.18330002,77.3167038
Nawapara,20.87000084,82.51959991
Neyveli,11.61295605,79.5273819
Pasighat,28.06609917,95.33560181
Rajouri,33.37789917,74.31520081
Ramnad,9.325090408,78.97149658
Sambalpur,21.5802002,84.00569916
Solapur,17.62800026,75.93479919
Tezu,27.94120026,96.13439941
Thanjavur,10.72239971,79.10160065
Thoothukudi,8.724241,78.025803
Ujjain,23.0951004,75.88529968
Vellore,12.90880013,79.06680298
Warangal,17.9144,79.602203
Aamby Valley City,18.60961667,73.37758333
Ajmer,26.601473,74.814147
Akli,25.8077,70.2943
Aligarth,27.86085631,78.14686775
Amravati,20.81334851,77.71790743
Bengaluru,13.07674,77.597645
Bilaspur,31.34513889,76.75675
Chakrata,30.70645,77.8615
Daporijo,27.98550034,94.22280121
Dhubulia,23.49298469,88.45401764
Digri,22.78544033,87.36225128
Dumka,24.231185,87.269989
Durgapur,23.6225,87.243
Durgapur,23.58331,87.339787
Faizabad,26.7511282,82.1543651
Gangpimual,24.3267,93.67546667
Jalandhar,31.29208333,75.6072
Kalyan,19.17921973,73.13918352
Kanchrapara,22.92293299,88.45992923
Kangla,24.8062,93.94275
Kannur,11.918614,75.547211
Khandwa,21.85711746,76.33695602
Kohima,25.66306667,94.11393333
Lebong,27.05908333,88.27773333
Maithon,23.785,86.7935
Mathura,27.46423333,77.68241667
Mimbai,18.89527337,72.80849397
Minicoy Island,8.273630142,73.02230072
Mumbai,18.91334568,72.82921135
Mumbai,18.9623,72.90308333
Mumbai,18.98203333,72.82156667
Mumbai,18.94265,72.79401667
Myliem,25.53818333,91.82655
Nayabazar,27.15673333,88.32206667
Osmanabad,18.281,76.0574
Pedong,27.15593333,88.61065
Pelling City,27.3005,88.23085
Phalodi,27.11283333,72.389
Poonch,33.76875,74.083753
Purulia,23.36577729,86.43673897
Ramagundam,18.701,79.3923
Ramagundam,18.701,79.3923
Rampurhat,24.18824,87.701722
Rasgovindpur,21.80508952,87.04690933
Rumgara,22.41416667,82.71944444
Saiha,22.48858333,92.98695
Salugara,26.7744,88.45231667
Serchhip,23.32875,92.85606667
Shillong,25.54425,91.88171667
Shirdi,19.688611,74.378889
