city,Latitude,Longitude,iso2,population
Delhi,28.66,77.23,IN,29617000
Mumbai,18.9667,72.8333,IN,23355000
Kolkata,22.5411,88.3378,IN,17560000
Bangalore,12.9699,77.598,IN,13707000
Chennai,13.0825,80.275,IN,11324000
Hyderabad,17.3667,78.4667,IN,9746000
Lucknow,26.847,80.947,IN,3382000
Jaipur,26.9167,75.8667,IN,3073350
Bhopal,23.25,77.4167,IN,1883381
Patna,25.61,85.1414,IN,1684222
Srinagar,34.0911,74.8061,IN,1180570
Ranchi,23.3556,85.3347,IN,1073440
Chandigarh,30.7353,76.7911,IN,1026459
Raipur,21.2379,81.6337,IN,1010087
Dispur,26.15,91.77,IN,957352
Bhubaneshwar,20.2644,85.8281,IN,837737
Thiruvananthapuram,8.5,76.8997,IN,743691
Dehra Dun,30.318,78.029,IN,578420
Agartala,23.8333,91.2667,IN,522613
aizawl,23.7104,92.72,IN,283021
Imphal,24.82,93.95,IN,268243
Puducherry,11.93,79.83,IN,227411
Shimla,31.1033,77.1722,IN,206575
Ghandinagar,23.22,72.68,IN,195891
Shillong,25.5744,91.8789,IN,143229
Port Blair,11.6667,92.75,IN,127562
Gangtok,27.33,88.62,IN,100286
Kohima,25.6667,94.1194,IN,99039
Itanagar,27.1,93.62,IN,59490
Panaji,15.48,73.83,IN,40017
Daman,20.417,72.85,IN,39737
Kavaratti,10.5626,72.6369,IN,10688
